feed_timestamp,entity_id,vehicle_id,route_id,trip_id,trip_start_date,trip_start_time,stop_id,stop_name,dist_to_stop_m,current_stop_sequence,current_status,congestion_level,vehicle_timestamp,lat,lon,speed_mps,bearing,odometer
1768494853,81,3490100008,,,,,,,,,2,,1768493252,44.251739501953125,-76.59446716308594,0.0,,0.0
1768494853,82,3490100027,,,,,,,,,2,,1768493280,44.23760986328125,-76.5943374633789,10.59000015258789,107.9000015258789,0.0
1768494853,83,3490100070,,,,,,,,,2,,1768493403,44.25495147705078,-76.57313537597656,0.0,,0.0
1768494853,84,3490101506,12,2182303:563630:568948,20260115,11:25:00,S00436,Beverley Street (south side of Union),158.28889288532537,9,2,1,1768494847,44.22616195678711,-76.50448608398438,10.829999923706055,67.5,106433.0
1768494853,85,3490101825,,,,,,,,,2,,1768494806,44.26134490966797,-76.50712585449219,0.0,,1741760.0
1768494853,86,3490101839,14,2181767:563274:568571,20260115,11:10:00,S03044,,,24,2,1,1768494849,44.25174331665039,-76.5473403930664,4.71999979019165,209.10000610351562,11102774.0
1768494853,87,3490100019,,,,,,,,,2,,1768493722,44.220130920410156,-76.64321899414062,4.679999828338623,221.8000030517578,0.0
1768494853,88,3490100030,,,,,,,,,2,,1768493796,44.25605392456055,-76.5035171508789,8.119999885559082,85.19999694824219,0.0
1768494853,89,3490100071,,,,,,,,,2,,1768494611,44.22039031982422,-76.52656555175781,,,0.0
1768494853,90,3490100060,,,,,,,,,2,,1768493973,44.22780990600586,-76.49716186523438,0.0,,0.0
1768494853,91,3490100067,,,,,,,,,2,,1768494837,44.24885177612305,-76.56835174560547,0.0,,0.0
1768494853,92,3490101510,22,2192659:567963:568260,20260115,11:15:00,S02080,Innovation Drive at Highway 15 (north side),303.1255050828677,16,2,1,1768494848,44.27362060546875,-76.44284057617188,9.720000267028809,197.89999389648438,3952936.0
1768494853,93,3490100077,,,,,,,,,2,,1768494637,44.257049560546875,-76.54235076904297,7.869999885559082,228.3000030517578,0.0
1768494853,94,3490100012,,,,,,,,,2,,1768494148,44.249671936035156,-76.58692169189453,14.399999618530273,292.79998779296875,0.0
1768494853,95,3490100037,,,,,,,,,2,,1768492754,44.261375427246094,-76.50675964355469,0.0,,0.0
1768494853,96,3490100026,,,,,,,,,2,,1768494682,,,,,
1768494853,97,3490100005,,,,,,,,,2,,1768494821,44.225975036621094,-76.5052719116211,11.829999923706055,246.89999389648438,0.0
